"cliente_id","nombre_empresa","nombre_contacto","titulo_contacto","ciudad","region","codigo_postal","pais","telefono","fax","direccion_Arr[0]","direccion_Arr[1]"
"ALFKI","Alfreds Futterkiste","Maria Anders","Sales Representative","Berlin","N/A","12209","Germany","0300074321","0300076545","57","Obere Str."
"ANATR","Ana Trujillo Emparedados y helados","Ana Trujillo","Owner","M„©xico D.f.","N/A","05021","Mexico","55554729","55553745","2222","Avda. de la Constituci√≥n"
"ANTON","Antonio Moreno Taquer√≠a","Antonio Moreno","Owner","M„©xico D.f.","N/A","05023","Mexico","55553932",,"2312","Mataderos"
"AROUT","Around the Horn","Thomas Hardy","Sales Representative","London","N/A","WA1 1DP","United Kingdom","1715557788","1715556750","120","Hanover Sq."
"BERGS","Berglunds snabbk√∂p","Christina Berglund","Order Administrator","Lule„•","N/A","S-958 22","Sweden","0921123465","0921123467","8","Berguvsv√§gen"
"BLAUS","Blauer See Delikatessen","Hanna Moos","Sales Representative","Mannheim","N/A","68306","Germany","062108460","062108924","57","Forsterstr."
"BLONP","Blondesddsl p√®re et fils","Fr„©d„©rique Citeaux","Marketing Manager","Strasbourg","N/A","67000","France","88601531","88601532","24","place Kl√©ber"
"BOLID","B√≥lido Comidas preparadas","Mart„≠n Sommer","Owner","Madrid","N/A","28023","Spain","915552282","915559199","67C","Araquil"
"BONAP","Bon app'","Laurence Lebihan","Owner","Marseille","N/A","13008","France","91244540","91244541","12","rue des Bouchers"
"BOTTM","Bottom-Dollar Markets","Elizabeth Lincoln","Accounting Manager","Tsawassen","BC","T2F 8M4","Canada","6045554729","6045553745","23","Tsawassen Blvd."
"BSBEV","B's Beverages","Victoria Ashworth","Sales Representative","London","N/A","EC2 5NT","United Kingdom","1715551212",,"Fauntleroy Circus",
"CACTU","Cactus Comidas para llevar","Patricio Simpson","Sales Agent","Buenos Aires","N/A","1010","Argentina","11355555","11354892","333","Cerrito"
"CENTC","Centro comercial Moctezuma","Francisco Chang","Marketing Manager","M„©xico D.f.","N/A","05022","Mexico","55553392","55557293","9993","Sierras de Granada"
"CHOPS","Chop-suey Chinese","Yang Wang","Owner","Bern","N/A","3012","Switzerland","0452076545",,"29","Hauptstr."
"COMMI","Com√©rcio Mineiro","Pedro Afonso","Sales Associate","Sao Paulo","SP","05432-043","Brazil","115557647",,"23","Av. dos Lus√≠adas"
"CONSH","Consolidated Holdings","Elizabeth Brown","Sales Representative","London","N/A","WX1 6LT","United Kingdom","1715552282","1715559199","12","Berkeley Gardens   Brewery"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Order Administrator","Aachen","N/A","52066","Germany","0241039123","0241059428","21","Walserweg"
"DUMON","Du monde entier","Janine Labrune","Owner","Nantes","N/A","44000","France","40678888","40678989","67","rue des Cinquante Otages"
"EASTC","Eastern Connection","Ann Devon","Sales Agent","London","N/A","WX3 6FW","United Kingdom","1715550297","1715553373","35","King George"
"ERNSH","Ernst Handel","Roland Mendel","Sales Manager","Graz","N/A","8010","Austria","76753425","76753426","6","Kirchgasse"
"FAMIA","Familia Arquibaldo","Aria Cruz","Marketing Assistant","Sao Paulo","SP","05442-030","Brazil","115559857",,"92","Rua Or√≥s"
"FISSA","FISSA Fabrica Inter. Salchichas S.A.","Diego Roel","Accounting Manager","Madrid","N/A","28034","Spain","915559444","915555593","86","C/ Moralzarzal"
"FOLIG","Folies gourmandes","Martine Ranc„©","Assistant Sales Agent","Lille","N/A","59000","France","20161016","20161017","184","chauss√©e de Tournai"
"FOLKO","Folk och f√§ HB","Maria Larsson","Owner","Br„§cke","N/A","S-844 67","Sweden","0695346721",,"24","√Ökergatan"
"FRANK","Frankenversand","Peter Franken","Marketing Manager","M„ºnchen","N/A","80805","Germany","0890877310","0890877451","43","Berliner Platz"
"FRANR","France restauration","Carine Schmitt","Marketing Manager","Nantes","N/A","44000","France","40322121","40322120","54","rue Royale"
"FRANS","Franchi S.p.A.","Paolo Accorti","Sales Representative","Torino","N/A","10100","Italy","0114988260","0114988261","34","Via Monte Bianco"
"FURIB","Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Sales Manager","Lisboa","N/A","1675","Portugal","13542534","13542535","32","Jardim das rosas n."
"GALED","Galer√≠a del gastr√≥nomo","Eduardo Saavedra","Marketing Manager","Barcelona","N/A","08022","Spain","932034560","932034561","23","Rambla de Catalu√±a"
"GODOS","Godos Cocina T√≠pica","Jos„© Pedro Freyre","Sales Manager","Sevilla","N/A","41101","Spain","955558282",,"33","C/ Romero"
"GOURL","Gourmet Lanchonetes","Andr„© Fonseca","Sales Associate","Campinas","SP","04876-786","Brazil","115559482",,"442","Av. Brasil"
"GREAL","Great Lakes Food Market","Howard Snyder","Marketing Manager","Eugene","OR","97403","United States","5035557555",,"2732","Baker Blvd."
"GROSR","GROSELLA-Restaurante","Manuel Pereira","Owner","Caracas","DF","1081","Venezuela","22832951","22833397","5¬™","Ave. Los Palos Grandes"
"HANAR","Hanari Carnes","Mario Pontes","Accounting Manager","Rio De Janeiro","RJ","05454-876","Brazil","215550091","215558765","67","Rua do Pa√ßo"
"HILAA","HILARION-Abastos","Carlos Hern„°ndez","Sales Representative","San Crist„≥bal","T√°chira","5022","Venezuela","55551340","55551948","22","Carrera  con Ave. Carlos Soublette #8-35"
"HUNGC","Hungry Coyote Import Store","Yoshi Latimer","Sales Representative","Elgin","OR","97827","United States","5035556874","5035552376","516","City Center Plaza  Main St."
"HUNGO","Hungry Owl All-Night Grocers","Patricia Mckenna","Sales Associate","Cork","Co. Cork",,"Ireland","2967542","29673333","8","Johnstown Road"
"ISLAT","Island Trading","Helen Bennett","Marketing Manager","Cowes","Isle of Wight","PO31 7PJ","United Kingdom","1985558888",,"Garden House Crowther Way",
"KOENE","K√∂niglich Essen","Philip Cramer","Sales Associate","Brandenburg","N/A","14776","Germany","055509876",,"90","Maubelstr."
"LACOR","La corne d'abondance","Daniel Tonini","Sales Representative","Versailles","N/A","78000","France","30598410","30598511","67","avenue de l'Europe"
"LAMAI","La maison d'Asie","Annette Roulet","Sales Manager","Toulouse","N/A","31000","France","61776110","61776111","1","rue Alsace-Lorraine"
"LAUGB","Laughing Bacchus Wine Cellars","Yoshi Tannamuri","Marketing Assistant","Vancouver","BC","V3F 2K1","Canada","6045553392","6045557293","1900","Oak St."
"LAZYK","Lazy K Kountry Store","John Steel","Marketing Manager","Walla Walla","WA","99362","United States","5095557969","5095556221","12","Orchestra Terrace"
"LEHMS","Lehmanns Marktstand","Renate Messner","Sales Representative","Frankfurt A.m.","N/A","60528","Germany","0690245984","0690245874","7","Magazinweg"
"LETSS","Let's Stop N Shop","Jaime Yorres","Owner","San Francisco","CA","94117","United States","4155555938",,"87","Polk St. Suite 5"
"LILAS","LILA-Supermercado","Carlos Gonz„°lez","Accounting Manager","Barquisimeto","Lara","3508","Venezuela","93316954","93317256","52","Carrera  con Ave. Bol√≠var #65-98 Llano Largo"
"LINOD","LINO-Delicateses","Felipe Izquierdo","Owner","I. De Margarita","Nueva Esparta","4980","Venezuela","8345612","8349393","5","Ave.  de Mayo Porlamar"
"LONEP","Lonesome Pine Restaurant","Fran Wilson","Sales Manager","Portland","OR","97219","United States","5035559573","5035559646","89","Chiaroscuro Rd."
"MAGAA","Magazzini Alimentari Riuniti","Giovanni Rovelli","Marketing Manager","Bergamo","N/A","24100","Italy","035640230","035640231","22","Via Ludovico il Moro"
"MAISD","Maison Dewey","Catherine Dewey","Sales Agent","Bruxelles","N/A","B-1180","Belgium","022012467","022012468","532","Rue Joseph-Bens"
"MEREP","M√®re Paillarde","Jean Fresni„®re","Marketing Assistant","Montr„©al","Qu√©bec","H1J 1C3","Canada","5145558054","5145558055","43","rue St. Laurent"
"MORGK","Morgenstern Gesundkost","Alexander Feuer","Marketing Assistant","Leipzig","N/A","04179","Germany","0342023176",,"22","Heerstr."
"NORTS","North/South","Simon Crowther","Sales Associate","London","N/A","SW7 1RZ","United Kingdom","1715557733","1715552530","300","South House  Queensbridge"
"OCEAN","Oc√©ano Atl√°ntico Ltda.","Yvonne Moncada","Sales Agent","Buenos Aires","N/A","1010","Argentina","11355333","11355535","8585","Ing. Gustavo Moncada  Piso 20-A"
"OLDWO","Old World Delicatessen","Rene Phillips","Sales Representative","Anchorage","AK","99508","United States","9075557584","9075552880","2743","Bering St."
"OTTIK","Ottilies K√§seladen","Henriette Pfalzheim","Owner","K„∂ln","N/A","50739","Germany","02210644327","02210765721","369","Mehrheimerstr."
"PARIS","Paris sp√©cialit√©s","Marie Bertrand","Owner","Paris","N/A","75012","France","142342266","142342277","265","boulevard Charonne"
"PERIC","Pericles Comidas cl√°sicas","Guillermo Fern„°ndez","Sales Representative","M„©xico D.f.","N/A","05033","Mexico","55523745","55453745","321","Calle Dr. Jorge Cash"
"PICCO","Piccolo und mehr","Georg Pipps","Sales Manager","Salzburg","N/A","5020","Austria","65629722","65629723","14","Geislweg"
"PRINI","Princesa Isabel Vinhos","Isabel De Castro","Sales Representative","Lisboa","N/A","1756","Portugal","13565634",,"58","Estrada da sa√∫de n."
"QUEDE","Que Del√≠cia","Bernardo Batista","Accounting Manager","12rio De Janeiro","RJ","02389-673","Brazil","215554252","215554545","Rua da Panificadora",
"QUEEN","Queen Cozinha","L„∫cia Carvalho","Marketing Assistant","Sao Paulo","SP","05487-020","Brazil","115551189",,"891","Alameda dos Can√†rios"
"QUICK","QUICK-Stop","Horst Kloss","Accounting Manager","Cunewalde","N/A","01307","Germany","0372035188",,"10","Taucherstra√üe"
"RANCH","Rancho grande","Sergio Guti„©rrez","Sales Representative","Buenos Aires","N/A","1010","Argentina","11235555","11235556","900","Av. del Libertador"
"RATTC","Rattlesnake Canyon Grocery","Paula Wilson","Assistant Sales Representative","Albuquerque","NM","87110","United States","5055555939","5055553620","2817","Milton Dr."
"REGGC","Reggiani Caseifici","Maurizio Moroni","Sales Associate","Reggio Emilia","N/A","42100","Italy","0522556721","0522556722","124","Strada Provinciale"
"RICAR","Ricardo Adocicados","Janete Limeira","Assistant Sales Agent","Rio De Janeiro","RJ","02389-890","Brazil","215553412",,"267","Av. Copacabana"
