"proveedor_id","nombre_empresa","nombre_contacto","titulo_contacto","direccion","ciudad","region","codigo_postal","pais","telefono","fax","direccion_Arr[0]","direccion_Arr[1]","prefijo_pais"
1,"EXOTIC LIQUIDS","Charlotte Cooper","Purchasing Manager","49| Gilbert St.","LONDON","N/A","EC1 4SD","United Kingdom","+44 1715552222","Sin Fax","49","Gilbert St.","+44"
2,"NEW ORLEANS CAJUN DELIGHTS","Shelley Burke","Order Administrator","78934|P.O. Box ","NEW ORLEANS","LA","70117","United States","+1 1005554822","Sin Fax","78934","P.O. Box","+1"
3,"GRANDMA KELLY'S HOMESTEAD","Regina Murphy","Sales Representative","707| Oxford Rd.","ANN ARBOR","MI","48104","United States","+1 3135555735","(313) 555-3349","707","Oxford Rd.","+1"
4,"TOKYO TRADERS","Yoshi Nagase","Marketing Manager","9-8| Sekimai Musashino-shi","TOKYO","N/A","00100","Japan","+81 0335555011","Sin Fax","9-8","Sekimai Musashino-shi","+81"
5,"COOPERATIVA DE QUESOS 'LAS CABRAS'","Antonio del Valle Saavedra","Export Administrator","4|Calle del Rosal ","OVIEDO","Asturias","33007","Spain","+34 985987654","Sin Fax","4","Calle del Rosal","+34"
6,"MAYUMI'S","Mayumi Ohno","Marketing Representative","92| Setsuko Chuo-ku","OSAKA","N/A","00545","Japan","+81 064317877","Sin Fax","92","Setsuko Chuo-ku","+81"
7,"PAVLOVA LTD.","Ian Devling","Marketing Manager","74| Rose St. Moonie Ponds","MELBOURNE","Victoria","03058","Australia","+61 034442343","(03) 444-6588","74","Rose St. Moonie Ponds","+61"
8,"SPECIALTY BISCUITS LTD.","Peter Wilson","Sales Representative","29| King's Way","MANCHESTER","N/A","M14 GSD","United Kingdom","+44 1615554448","Sin Fax","29","King's Way","+44"
9,"PB KNäCKEBRöD AB","Lars Peterson","Sales Agent","13|Kaloadagatan ","GöTEBORG","N/A","S-345 67","Sweden","+46 0319876543","031-987 65 91","13","Kaloadagatan","+46"
10,"REFRESCOS AMERICANAS LTDA","Carlos Diaz","Marketing Manager","12.890|Av. das Americanas ","SAO PAULO","N/A","05442","Brazil","+55 115554640","Sin Fax","12.890","Av. das Americanas","+55"
11,"HELI SüßWAREN GMBH & CO. KG","Petra Winkler","Sales Manager","5|Tiergartenstraße ","BERLIN","N/A","10785","Germany","+49 0109984510","Sin Fax","5","Tiergartenstraße","+49"
12,"PLUTZER LEBENSMITTELGROßMäRKTE AG","Martin Bein","International Marketing Mgr.","51|Bogenallee ","FRANKFURT","N/A","60439","Germany","+49 069992755","Sin Fax","51","Bogenallee","+49"
13,"NORD-OST-FISCH HANDELSGESELLSCHAFT MBH","Sven Petersen","Coordinator Foreign Markets","112a|Frahmredder ","CUXHAVEN","N/A","27478","Germany","+49 047218713","(04721) 8714","112a","Frahmredder","+49"
14,"FORMAGGI FORTINI S.R.L.","Elio Rossi","Sales Representative","75|Viale Dante ","RAVENNA","N/A","48100","Italy","+39 054460323","(0544) 60603","75","Viale Dante","+39"
15,"NORSKE MEIERIER","Beate Vileid","Marketing Manager","5|Hatlevegen ","SANDVIKA","N/A","01320","Norway","+47 02953010","Sin Fax","5","Hatlevegen","+47"
16,"BIGFOOT BREWERIES","Cheryl Saylor","Regional Account Rep.","3400| - 8th Avenue Suite 210","BEND","OR","97101","United States","+1 5035559931","Sin Fax","3400","- 8th Avenue Suite 210","+1"
17,"SVENSK SJöFöDA AB","Michael Björn","Sales Representative","231|Brovallavägen ","STOCKHOLM","N/A","S-123 45","Sweden","+46 081234567","Sin Fax","231","Brovallavägen","+46"
18,"AUX JOYEUX ECCLéSIASTIQUES","Guylène Nodier","Sales Manager","203| Rue des Francs-Bourgeois","PARIS","N/A","75004","France","+33 103830068","(1) 03.83.00.62","203","Rue des Francs-Bourgeois","+33"
19,"NEW ENGLAND SEAFOOD CANNERY","Robb Merchant","Wholesale Account Agent","2100|Order Processing Dept.  Paul Revere Blvd.","BOSTON","MA","02134","United States","+1 6175553267","(617) 555-3389","2100","Order Processing Dept.  Paul Revere Blvd.","+1"
20,"LEKA TRADING","Chandra Leka","Owner","471| Serangoon Loop Suite #402","SINGAPORE","N/A","00512","Singapore","+65 5558787","Sin Fax","471","Serangoon Loop Suite #402","+65"
21,"LYNGBYSILD","Niels Petersen","Sales Manager","10|Lyngbysild Fiskebakken ","LYNGBY","N/A","02800","Denmark","+45 43844108","43844115","10","Lyngbysild Fiskebakken","+45"
